id,state.abbrev,station,city,county,zipcode,latitude,longitude
5000,MO,LAKE OZARK POLICE DEPT,,,,,
5001,MO,LAKE WINNEBAGO POLICE DEPT,,,,,
5002,MO,LAMAR POLICE DEPT,,,,,
5003,MO,LANAGAN POLICE DEPT,,,,,
5004,MO,LAURIE POLICE DEPARTMENT,,,,,
5005,MO,LAWRENCE COUNTY SHERIFF DEPT,,,,,
5006,MO,LAWRENCE COUNTY SHERIFFS OFFICE,,,,,
5007,MO,LEADWOOD POLICE DEPT,,,,,
5008,MO,LEASBURG POLICE DEPT,,,,,
5009,MO,LEWIS COUNTY SHERIFF OFFICE,,,,,
5010,MO,LEXINGTON POLICE DEPT,,,,,
5011,MO,LIBERAL POLICE DEPT,,,,,
5012,MO,LILBOURN POLICE DEPT,,,,,
5013,MO,LINCOLN COUNTY SHERIFF DEPT,,,,,
5014,MO,LINCOLN COUNTY SHERIFFS OFFICE,,,,,
5015,MO,LINCOLN UNIVERSITY POLICE,,,,,
