id,state.abbrev,station,city,county,zipcode,latitude,longitude
4816,MO,ADAIR COUNTY SHERIFF OFFICE,Kirksville,Adair County,63501,40.195673,-92.583183
4817,MO,ALTON POLICE DEPT,Alton,Madison County,62002,38.888756,-90.159239
4818,MO,ANDREW COUNTY SHERIFF DEPT,Savannah,Andrew County,64485,39.940995,-94.819382
4819,MO,ANDREW COUNTY SHERIFFS OFFICE,Savannah,Andrew County,64485,39.940995,-94.819382
4820,MO,APPLETON CITY POLICE DEPT,Appleton City,St. Clair County,64724,38.190478,-94.026805
4821,MO,ARCHIE POLICE DEPT,Archie,Cass County,64725,38.4802,-94.353641
4822,MO,ASH GROVE POLICE DEPT,Ash Grove,Greene County,65604,37.315896,-93.584684
4823,MO,AUDRAIN COUNTY SHERIFF DEPT,Mexico,Audrain County,65265,39.168032,-91.818807
4824,MO,AUDRAIN COUNTY SHERIFFS OFFICE,Mexico,Audrain County,65265,39.168046,-91.818626
4825,MO,AURORA POLICE DEPT,Aurora,Arapahoe County,80012,39.711811,-104.813392
4826,MO,BARRY COUNTY SHERIFF DEPT,Cassville,Barry County,65625,36.677357,-93.867188
4827,MO,BARRY COUNTY SHERIFF OFFICE,Cassville,Barry County,65625,36.677357,-93.867188
4828,MO,BARTON COUNTY SHERIFF DEPT,Great Bend,Barton County,67530,38.366198,-98.76341
4829,MO,BATES CITY POLICE DEPT,Bates City,Lafayette County,64011,39.003941,-94.072377
4830,MO,BATES COUNTY SHERIFF DEPT,Butler,Bates County,64730,38.256827,-94.332343
4831,MO,BATES COUNTY SHERIFFS OFFICE,Butler,Bates County,64730,38.256827,-94.332343
4832,MO,BEL-NOR POLICE DEPARTMENT,St. Louis,St. Louis County,63121,38.715257,-90.326394
4833,MO,BELLE POLICE DEPT,Belle Fourche,Butte County,57717,44.666632,-103.849458
4834,MO,BELTON POLICE DEPT,Belton,Bell County,76513,31.055722,-97.456245
4835,MO,BENTON COUNTY SHERIFF DEPT,Corvallis,Benton County,97330,44.565773,-123.26312
4836,MO,BENTON COUNTY SHERIFF OFFICE,Corvallis,Benton County,97330,44.565773,-123.26312
4837,MO,BENTON COUNTY SHERIFFS OFFICE,Corvallis,Benton County,97330,44.565773,-123.26312
4838,MO,BERKELEY POLICE DEPT,Berkeley,Alameda County,94704,37.870184,-122.273261
4839,MO,BERNIE POLICE DEPT,Bernie,Stoddard County,63822,36.67032,-89.969665
4840,MO,BEVERLY HILLS POLICE DEPT,Beverly Hills,Los Angeles County,90210,34.073665,-118.400011
4841,MO,BISMARCK POLICE DEPT,Bismarck,Burleigh County,58504,46.798437,-100.77932
4842,MO,BLUE SPRINGS POLICE DEPT,Blue Springs,Jackson County,64015,39.017326,-94.278202
4843,MO,BOLLINGER COUNTY SHERIFF DEPT,Marble Hill,Bollinger County,63764,37.30555,-89.970465
4844,MO,BOLLINGER COUNTY SHERIFF OFFICE,Marble Hill,Bollinger County,63764,37.30555,-89.970465
4845,MO,BONNE TERRE POLICE DEPT,Bonne Terre,St. Francois County,63628,37.990089,-90.535578
4846,MO,BOONE COUNTY SHERIFF DEPT,Columbia,Boone County,65202,39.00483,-92.307318
4847,MO,BOONVILLE POLICE DEPT,Boonville,Warrick County,47601,38.048885,-87.273996
4848,MO,BOWLING GREEN POLICE DEPT,Bowling Green,Warren County,42101,36.995936,-86.444429
4849,MO,BRANSON POLICE,Branson,Taney County,65616,36.641157,-93.217499
4850,MO,BROOKFIELD POLICE DEPT,Brookfield,Waukesha County,53005,43.057976,-88.125097
4851,MO,BUCHANAN COUNTY SHERIFF DEPT,Saint Joseph,Buchanan County,64501,39.769355,-94.853904
4852,MO,BUCKNER POLICE DEPT,Buckner,Jackson County,64016,39.132781,-94.199104
4853,MO,BUFFALO POLICE DEPT,Buffalo,Erie County,14202,42.883162,-78.878035
4854,MO,BUNCETON POLICE DEPT,Bunceton,Cooper County,65237,38.788077,-92.799359
4855,MO,BUTLER POLICE DEPT,Butler,Morris County,7405,41.001593,-74.339298
4856,MO,BYRNES MILL POLICE DEPT,Hillsboro,Jefferson County,63050,38.232277,-90.562903
4857,MO,CALDWELL COUNTY SHERIFF OFFICE,Lenoir,Caldwell County,28645,35.891352,-81.570918
4858,MO,CALDWELL COUNTY SHERIFFS OFFICE,Lenoir,Caldwell County,28645,35.891352,-81.570918
4859,MO,CALIFORNIA POLICE DEPT,Los Angeles,Los Angeles County,90028,34.095818,-118.33067
4860,MO,CALLAWAY COUNTY SHERIFF DEPT,Fulton,Callaway County,65251,38.844697,-91.929158
4861,MO,CALLAWAY COUNTY SHERIFF OFFICE,Fulton,Callaway County,65251,38.844697,-91.929158
4862,MO,CALVERTON PARK POLICE DEPT,St. Louis,St. Louis County,63135,38.764611,-90.316654
4863,MO,CAMDEN COUNTY SHERIFF DEPT,Camden,Camden County,8102,39.944844,-75.119992
4864,MO,CAMDEN COUNTY SHERIFF OFFICE,Camden,Camden County,8102,39.944844,-75.119992
4865,MO,CAMPBELL POLICE DEPT,Campbell,Santa Clara County,95008,37.288356,-121.944159
4866,MO,CAPE GIRARDEAU CTY SHERIFF OFFICE,Jackson,Cape Girardeau County,63755,37.38434,-89.667888
4867,MO,CAPE GIRARDEAU CTY SHERIFFS OFFICE,Jackson,Cape Girardeau County,63755,37.38434,-89.667888
4868,MO,CARROLLTON POLICE DEPT,Carrollton,Dallas County,75006,32.976516,-96.886594
