id,state.abbrev,station,city,county,zipcode,latitude,longitude
4816,MO,ADAIR COUNTY SHERIFF OFFICE,,,,,
4817,MO,ALTON POLICE DEPT,,,,,
4818,MO,ANDREW COUNTY SHERIFF DEPT,,,,,
4819,MO,ANDREW COUNTY SHERIFFS OFFICE,,,,,
4820,MO,APPLETON CITY POLICE DEPT,,,,,
4821,MO,ARCHIE POLICE DEPT,,,,,
4822,MO,ASH GROVE POLICE DEPT,,,,,
4823,MO,AUDRAIN COUNTY SHERIFF DEPT,,,,,
4824,MO,AUDRAIN COUNTY SHERIFFS OFFICE,,,,,
4825,MO,AURORA POLICE DEPT,,,,,
4826,MO,BARRY COUNTY SHERIFF DEPT,,,,,
4827,MO,BARRY COUNTY SHERIFF OFFICE,,,,,
4828,MO,BARTON COUNTY SHERIFF DEPT,,,,,
4829,MO,BATES CITY POLICE DEPT,,,,,
4830,MO,BATES COUNTY SHERIFF DEPT,,,,,
4831,MO,BATES COUNTY SHERIFFS OFFICE,,,,,
4832,MO,BEL-NOR POLICE DEPARTMENT,,,,,
4833,MO,BELLE POLICE DEPT,,,,,
4834,MO,BELTON POLICE DEPT,,,,,
4835,MO,BENTON COUNTY SHERIFF DEPT,,,,,
4836,MO,BENTON COUNTY SHERIFF OFFICE,,,,,
4837,MO,BENTON COUNTY SHERIFFS OFFICE,,,,,
4838,MO,BERKELEY POLICE DEPT,,,,,
4839,MO,BERNIE POLICE DEPT,,,,,
4840,MO,BEVERLY HILLS POLICE DEPT,,,,,
4841,MO,BISMARCK POLICE DEPT,,,,,
4842,MO,BLUE SPRINGS POLICE DEPT,,,,,
4843,MO,BOLLINGER COUNTY SHERIFF DEPT,,,,,
4844,MO,BOLLINGER COUNTY SHERIFF OFFICE,,,,,
4845,MO,BONNE TERRE POLICE DEPT,,,,,
4846,MO,BOONE COUNTY SHERIFF DEPT,,,,,
4847,MO,BOONVILLE POLICE DEPT,,,,,
4848,MO,BOWLING GREEN POLICE DEPT,,,,,
4849,MO,BRANSON POLICE,,,,,
4850,MO,BROOKFIELD POLICE DEPT,,,,,
4851,MO,BUCHANAN COUNTY SHERIFF DEPT,,,,,
4852,MO,BUCKNER POLICE DEPT,,,,,
4853,MO,BUFFALO POLICE DEPT,,,,,
4854,MO,BUNCETON POLICE DEPT,,,,,
4855,MO,BUTLER POLICE DEPT,,,,,
4856,MO,BYRNES MILL POLICE DEPT,,,,,
4857,MO,CALDWELL COUNTY SHERIFF OFFICE,,,,,
4858,MO,CALDWELL COUNTY SHERIFFS OFFICE,,,,,
4859,MO,CALIFORNIA POLICE DEPT,,,,,
4860,MO,CALLAWAY COUNTY SHERIFF DEPT,,,,,
4861,MO,CALLAWAY COUNTY SHERIFF OFFICE,,,,,
4862,MO,CALVERTON PARK POLICE DEPT,,,,,
4863,MO,CAMDEN COUNTY SHERIFF DEPT,,,,,
4864,MO,CAMDEN COUNTY SHERIFF OFFICE,,,,,
4865,MO,CAMPBELL POLICE DEPT,,,,,
4866,MO,CAPE GIRARDEAU CTY SHERIFF OFFICE,,,,,
4867,MO,CAPE GIRARDEAU CTY SHERIFFS OFFICE,,,,,
4868,MO,CARROLLTON POLICE DEPT,,,,,
4869,MO,CARTER COUNTY SHERIFF'S OFFICE,,,,,
4870,MO,CARTER COUNTY SHERIFFS OFFICE,,,,,
4871,MO,CARTERVILLE POLICE DEPT,,,,,
4872,MO,CARTHAGE POLICE DEPT,,,,,
4873,MO,CARUTHERSVILLE POLICE DEPT,,,,,
4874,MO,CASS COUNTY SHERIFF DEPT,,,,,
4875,MO,CASS COUNTY SHERIFFS OFFICE,,,,,
4876,MO,CEDAR COUNTY SHERIFF DEPT,,,,,
4877,MO,CEDAR COUNTY SHERIFF OFFICE,,,,,
4878,MO,CENTRALIA POLICE DEPT,,,,,
4879,MO,CHRISTIAN COUNTY SHERIFF DEPT,,,,,
4880,MO,CLARENCE POLICE DEPT,,,,,
4881,MO,CLARKTON POLICE DEPT,,,,,
4882,MO,CLAY COUNTY RANGER DIVISION,,,,,
4883,MO,CLAY COUNTY SHERIFF DEPT,,,,,
4884,MO,CLAY COUNTY SHERIFFS DEPT,,,,,
4885,MO,CLAYTON POLICE DEPT,,,,,
4886,MO,CLEVELAND POLICE DEPT,,,,,
4887,MO,CLEVER POLICE DEPT,,,,,
4888,MO,CLINTON COUNTY SHERIFF DEPT,,,,,
4889,MO,COLE COUNTY SHERIFF DEPT,,,,,
4890,MO,COLUMBIA POLICE DEPT,,,,,
4891,MO,CONWAY POLICE DEPT,,,,,
4892,MO,COOPER COUNTY SHERIFF DEPT,,,,,
4893,MO,COOPER COUNTY SHERIFF OFFICE,,,,,
4894,MO,COTTLEVILLE POLICE DEPT,,,,,
4895,MO,CRANE POLICE DEPT,,,,,
4896,MO,CRAWFORD COUNTY SHERIFF DEPT,,,,,
4897,MO,CRAWFORD COUNTY SHERIFF OFFICE,,,,,
4898,MO,CROCKER POLICE DEPT,,,,,
